date,dividends,type,ticker,currency
21.09.1987,2,Stock Split,MSFT,USD
16.04.1990,2,Stock Split,MSFT,USD
27.06.1991,"1,5",Stock Split,MSFT,USD
15.06.1992,"1,5",Stock Split,MSFT,USD
23.05.1994,2,Stock Split,MSFT,USD
09.12.1996,2,Stock Split,MSFT,USD
23.02.1998,2,Stock Split,MSFT,USD
29.03.1999,2,Stock Split,MSFT,USD
18.02.2003,2,Stock Split,MSFT,USD
19.02.2003,"0,08",Regular Cash,MSFT,USD
15.10.2003,"0,16",Regular Cash,MSFT,USD
23.08.2004,"0,08",Regular Cash,MSFT,USD
15.11.2004,3,Special Cash,MSFT,USD
15.11.2004,"0,08",Regular Cash,MSFT,USD
15.02.2005,"0,08",Regular Cash,MSFT,USD
16.05.2005,"0,08",Regular Cash,MSFT,USD
15.08.2005,"0,08",Regular Cash,MSFT,USD
15.11.2005,"0,08",Regular Cash,MSFT,USD
15.02.2006,"0,09",Regular Cash,MSFT,USD
15.05.2006,"0,09",Regular Cash,MSFT,USD
15.08.2006,"0,09",Regular Cash,MSFT,USD
14.11.2006,"0,1",Regular Cash,MSFT,USD
13.02.2007,"0,1",Regular Cash,MSFT,USD
15.05.2007,"0,1",Regular Cash,MSFT,USD
14.08.2007,"0,1",Regular Cash,MSFT,USD
13.11.2007,"0,11",Regular Cash,MSFT,USD
19.02.2008,"0,11",Regular Cash,MSFT,USD
13.05.2008,"0,11",Regular Cash,MSFT,USD
19.08.2008,"0,11",Regular Cash,MSFT,USD
18.11.2008,"0,13",Regular Cash,MSFT,USD
17.02.2009,"0,13",Regular Cash,MSFT,USD
19.05.2009,"0,13",Regular Cash,MSFT,USD
18.08.2009,"0,13",Regular Cash,MSFT,USD
17.11.2009,"0,13",Regular Cash,MSFT,USD
16.02.2010,"0,13",Regular Cash,MSFT,USD
18.05.2010,"0,13",Regular Cash,MSFT,USD
17.08.2010,"0,13",Regular Cash,MSFT,USD
16.11.2010,"0,16",Regular Cash,MSFT,USD
15.02.2011,"0,16",Regular Cash,MSFT,USD
17.05.2011,"0,16",Regular Cash,MSFT,USD
16.08.2011,"0,16",Regular Cash,MSFT,USD
15.11.2011,"0,2",Regular Cash,MSFT,USD
14.02.2012,"0,2",Regular Cash,MSFT,USD
15.05.2012,"0,2",Regular Cash,MSFT,USD
14.08.2012,"0,2",Regular Cash,MSFT,USD
13.11.2012,"0,23",Regular Cash,MSFT,USD
19.02.2013,"0,23",Regular Cash,MSFT,USD
14.05.2013,"0,23",Regular Cash,MSFT,USD
13.08.2013,"0,23",Regular Cash,MSFT,USD
19.11.2013,"0,28",Regular Cash,MSFT,USD
18.02.2014,"0,28",Regular Cash,MSFT,USD
13.05.2014,"0,28",Regular Cash,MSFT,USD
19.08.2014,"0,28",Regular Cash,MSFT,USD
18.11.2014,"0,31",Regular Cash,MSFT,USD
17.02.2015,"0,31",Regular Cash,MSFT,USD
19.05.2015,"0,31",Regular Cash,MSFT,USD
18.08.2015,"0,31",Regular Cash,MSFT,USD
17.11.2015,"0,36",Regular Cash,MSFT,USD
