Date,Price,ticker,currency
22.08.2014,"45,16",MSFT,USD
25.08.2014,"45,17",MSFT,USD
26.08.2014,"45,005",MSFT,USD
27.08.2014,"44,87",MSFT,USD
28.08.2014,"44,88",MSFT,USD
29.08.2014,"45,43",MSFT,USD
02.09.2014,"45,09",MSFT,USD
03.09.2014,"44,96",MSFT,USD
04.09.2014,"45,26",MSFT,USD
05.09.2014,"45,91",MSFT,USD
08.09.2014,"46,47",MSFT,USD
09.09.2014,"46,76",MSFT,USD
10.09.2014,"46,84",MSFT,USD
11.09.2014,47,MSFT,USD
12.09.2014,"46,695",MSFT,USD
15.09.2014,"46,24",MSFT,USD
16.09.2014,"46,76",MSFT,USD
17.09.2014,"46,52",MSFT,USD
18.09.2014,"46,68",MSFT,USD
19.09.2014,"47,52",MSFT,USD
22.09.2014,"47,06",MSFT,USD
23.09.2014,"46,56",MSFT,USD
24.09.2014,"47,08",MSFT,USD
25.09.2014,"46,04",MSFT,USD
26.09.2014,"46,41",MSFT,USD
29.09.2014,"46,44",MSFT,USD
30.09.2014,"46,36",MSFT,USD
01.10.2014,"45,9",MSFT,USD
02.10.2014,"45,76",MSFT,USD
03.10.2014,"46,09",MSFT,USD
06.10.2014,"46,09",MSFT,USD
07.10.2014,"45,53",MSFT,USD
08.10.2014,"46,78",MSFT,USD
09.10.2014,"45,85",MSFT,USD
10.10.2014,"44,03",MSFT,USD
13.10.2014,"43,65",MSFT,USD
14.10.2014,"43,73",MSFT,USD
15.10.2014,"43,22",MSFT,USD
16.10.2014,"42,74",MSFT,USD
17.10.2014,"43,63",MSFT,USD
20.10.2014,"44,08",MSFT,USD
21.10.2014,"44,88",MSFT,USD
22.10.2014,"44,38",MSFT,USD
23.10.2014,"45,02",MSFT,USD
24.10.2014,"46,13",MSFT,USD
27.10.2014,"45,91",MSFT,USD
28.10.2014,"46,49",MSFT,USD
29.10.2014,"46,62",MSFT,USD
30.10.2014,"46,05",MSFT,USD
31.10.2014,"46,95",MSFT,USD
03.11.2014,"47,44",MSFT,USD
04.11.2014,"47,57",MSFT,USD
05.11.2014,"47,86",MSFT,USD
06.11.2014,"48,7",MSFT,USD
07.11.2014,"48,68",MSFT,USD
10.11.2014,"48,89",MSFT,USD
11.11.2014,"48,87",MSFT,USD
12.11.2014,"48,78",MSFT,USD
13.11.2014,"49,61",MSFT,USD
14.11.2014,"49,58",MSFT,USD
17.11.2014,"49,46",MSFT,USD
18.11.2014,"48,74",MSFT,USD
19.11.2014,"48,22",MSFT,USD
20.11.2014,"48,7",MSFT,USD
21.11.2014,"47,98",MSFT,USD
24.11.2014,"47,59",MSFT,USD
25.11.2014,"47,47",MSFT,USD
26.11.2014,"47,75",MSFT,USD
28.11.2014,"47,81",MSFT,USD
01.12.2014,"48,62",MSFT,USD
02.12.2014,"48,46",MSFT,USD
03.12.2014,"48,08",MSFT,USD
04.12.2014,"48,84",MSFT,USD
05.12.2014,"48,42",MSFT,USD
08.12.2014,"47,695",MSFT,USD
09.12.2014,"47,59",MSFT,USD
10.12.2014,"46,9",MSFT,USD
11.12.2014,"47,17",MSFT,USD
12.12.2014,"46,95",MSFT,USD
15.12.2014,"46,67",MSFT,USD
16.12.2014,"45,16",MSFT,USD
17.12.2014,"45,74",MSFT,USD
18.12.2014,"47,52",MSFT,USD
19.12.2014,"47,66",MSFT,USD
22.12.2014,"47,98",MSFT,USD
23.12.2014,"48,45",MSFT,USD
24.12.2014,"48,14",MSFT,USD
26.12.2014,"47,88",MSFT,USD
29.12.2014,"47,45",MSFT,USD
30.12.2014,"47,02",MSFT,USD
31.12.2014,"46,45",MSFT,USD
02.01.2015,"46,76",MSFT,USD
05.01.2015,"46,325",MSFT,USD
06.01.2015,"45,65",MSFT,USD
07.01.2015,"46,23",MSFT,USD
08.01.2015,"47,59",MSFT,USD
09.01.2015,"47,19",MSFT,USD
12.01.2015,"46,6",MSFT,USD
13.01.2015,"46,355",MSFT,USD
14.01.2015,"45,955",MSFT,USD
15.01.2015,"45,48",MSFT,USD
16.01.2015,"46,24",MSFT,USD
20.01.2015,"46,39",MSFT,USD
21.01.2015,"45,92",MSFT,USD
22.01.2015,"47,13",MSFT,USD
23.01.2015,"47,18",MSFT,USD
26.01.2015,"47,01",MSFT,USD
27.01.2015,"42,66",MSFT,USD
28.01.2015,"41,19",MSFT,USD
29.01.2015,"42,01",MSFT,USD
30.01.2015,"40,4",MSFT,USD
02.02.2015,"41,28",MSFT,USD
03.02.2015,"41,6",MSFT,USD
04.02.2015,"41,84",MSFT,USD
05.02.2015,"42,45",MSFT,USD
06.02.2015,"42,41",MSFT,USD
09.02.2015,"42,36",MSFT,USD
10.02.2015,"42,6",MSFT,USD
11.02.2015,"42,38",MSFT,USD
12.02.2015,"43,09",MSFT,USD
13.02.2015,"43,87",MSFT,USD
17.02.2015,"43,58",MSFT,USD
18.02.2015,"43,53",MSFT,USD
19.02.2015,"43,5",MSFT,USD
20.02.2015,"43,855",MSFT,USD
23.02.2015,"44,15",MSFT,USD
24.02.2015,"44,09",MSFT,USD
25.02.2015,"43,99",MSFT,USD
26.02.2015,"44,055",MSFT,USD
27.02.2015,"43,85",MSFT,USD
02.03.2015,"43,88",MSFT,USD
03.03.2015,"43,28",MSFT,USD
04.03.2015,"43,055",MSFT,USD
05.03.2015,"43,11",MSFT,USD
06.03.2015,"42,36",MSFT,USD
09.03.2015,"42,85",MSFT,USD
10.03.2015,"42,03",MSFT,USD
11.03.2015,"41,98",MSFT,USD
12.03.2015,"41,02",MSFT,USD
13.03.2015,"41,38",MSFT,USD
16.03.2015,"41,56",MSFT,USD
17.03.2015,"41,695",MSFT,USD
