date,rate
22.08.2014,"0,2384"
23.08.2014,"0,2384"
24.08.2014,"0,2384"
25.08.2014,"0,2384"
26.08.2014,"0,2381"
27.08.2014,"0,2346"
28.08.2014,"0,2336"
29.08.2014,"0,2336"
30.08.2014,"0,2336"
31.08.2014,"0,2336"
01.09.2014,"0,2336"
02.09.2014,"0,2331"
03.09.2014,"0,2341"
04.09.2014,"0,2331"
05.09.2014,"0,2323"
06.09.2014,"0,2323"
07.09.2014,"0,2323"
08.09.2014,"0,2336"
09.09.2014,"0,2346"
10.09.2014,"0,2346"
11.09.2014,"0,2341"
12.09.2014,"0,2346"
13.09.2014,"0,2346"
14.09.2014,"0,2346"
15.09.2014,"0,2346"
16.09.2014,"0,2344"
17.09.2014,"0,2341"
18.09.2014,"0,2331"
19.09.2014,"0,2331"
20.09.2014,"0,2331"
21.09.2014,"0,2331"
22.09.2014,"0,2356"
23.09.2014,"0,2341"
24.09.2014,"0,2351"
25.09.2014,"0,2336"
26.09.2014,"0,2331"
27.09.2014,"0,2331"
28.09.2014,"0,2331"
29.09.2014,"0,2351"
30.09.2014,"0,2351"
01.10.2014,"0,2326"
02.10.2014,"0,2312"
03.10.2014,"0,2316"
04.10.2014,"0,2316"
05.10.2014,"0,2316"
06.10.2014,"0,2326"
07.10.2014,"0,2311"
08.10.2014,"0,2291"
09.10.2014,"0,2291"
10.10.2014,"0,23"
11.10.2014,"0,23"
12.10.2014,"0,23"
13.10.2014,"0,2306"
14.10.2014,"0,2291"
15.10.2014,"0,2281"
16.10.2014,"0,23075"
17.10.2014,"0,23135"
18.10.2014,"0,23135"
19.10.2014,"0,23135"
20.10.2014,"0,2321"
21.10.2014,"0,2306"
22.10.2014,"0,2328"
23.10.2014,"0,2336"
24.10.2014,"0,2331"
25.10.2014,"0,2331"
26.10.2014,"0,2331"
27.10.2014,"0,2326"
28.10.2014,"0,2326"
29.10.2014,"0,2326"
30.10.2014,"0,23235"
31.10.2014,"0,2321"
01.11.2014,"0,2321"
02.11.2014,"0,2321"
03.11.2014,"0,23235"
04.11.2014,"0,23185"
05.11.2014,"0,23185"
06.11.2014,"0,2316"
07.11.2014,"0,2326"
08.11.2014,"0,2326"
09.11.2014,"0,2326"
10.11.2014,"0,2331"
11.11.2014,"0,2332"
12.11.2014,"0,2332"
13.11.2014,"0,2321"
14.11.2014,"0,2321"
15.11.2014,"0,2321"
16.11.2014,"0,2321"
17.11.2014,"0,23185"
18.11.2014,"0,23185"
19.11.2014,"0,2311"
20.11.2014,"0,2329"
21.11.2014,"0,23285"
22.11.2014,"0,23285"
23.11.2014,"0,23285"
24.11.2014,"0,23435"
25.11.2014,"0,2356"
26.11.2014,"0,2356"
27.11.2014,"0,2336"
28.11.2014,"0,2336"
29.11.2014,"0,2336"
30.11.2014,"0,2336"
01.12.2014,"0,2346"
02.12.2014,"0,2346"
03.12.2014,"0,23485"
04.12.2014,"0,23535"
05.12.2014,"0,2356"
06.12.2014,"0,2356"
07.12.2014,"0,2356"
08.12.2014,"0,2376"
09.12.2014,"0,23885"
10.12.2014,"0,2399"
11.12.2014,"0,2406"
12.12.2014,"0,24285"
13.12.2014,"0,24285"
14.12.2014,"0,24285"
15.12.2014,"0,2426"
16.12.2014,"0,2426"
17.12.2014,"0,24535"
18.12.2014,"0,2471"
19.12.2014,"0,2521"
20.12.2014,"0,2521"
21.12.2014,"0,2521"
22.12.2014,"0,2551"
23.12.2014,"0,2546"
24.12.2014,"0,2566"
25.12.2014,"0,2566"
26.12.2014,"0,2566"
27.12.2014,"0,2566"
